sender,recver,channel,interactions,date
0,24,email,3,2020-01-01
0,11,email,6,2020-01-01
0,4,slack,18,2020-01-01
0,1,slack,15,2020-01-01
0,47,email,5,2020-01-01
0,4,email,4,2020-01-01
0,78,email,2,2020-01-01
0,96,email,5,2020-01-01
0,99,slack,13,2020-01-01
0,14,email,6,2020-01-01
0,36,slack,10,2020-01-01
0,43,email,3,2020-01-01
0,43,email,3,2020-01-01
0,61,email,4,2020-01-01
1,96,slack,7,2020-01-01
1,31,email,4,2020-01-01
1,58,slack,7,2020-01-01
1,72,slack,2,2020-01-01
1,23,zoom,3,2020-01-01
1,58,slack,6,2020-01-01
1,69,email,5,2020-01-01
2,6,zoom,2,2020-01-01
2,9,email,4,2020-01-01
2,3,email,2,2020-01-01
2,1,zoom,1,2020-01-01
2,6,slack,19,2020-01-01
2,5,zoom,3,2020-01-01
2,61,email,6,2020-01-01
3,3,slack,17,2020-01-01
3,1,email,0,2020-01-01
3,5,zoom,2,2020-01-01
3,31,zoom,2,2020-01-01
4,2,slack,8,2020-01-01
4,6,email,4,2020-01-01
5,52,slack,9,2020-01-01
5,81,zoom,4,2020-01-01
5,44,zoom,3,2020-01-01
5,31,slack,4,2020-01-01
5,3,zoom,3,2020-01-01
5,80,slack,11,2020-01-01
5,1,slack,19,2020-01-01
5,0,slack,10,2020-01-01
5,4,slack,12,2020-01-01
5,51,slack,5,2020-01-01
5,43,slack,6,2020-01-01
5,25,slack,17,2020-01-01
5,67,zoom,3,2020-01-01
5,1,slack,9,2020-01-01
5,51,slack,12,2020-01-01
5,81,zoom,1,2020-01-01
5,1,zoom,2,2020-01-01
5,92,zoom,3,2020-01-01
7,6,email,7,2020-01-01
7,11,email,7,2020-01-01
7,16,zoom,1,2020-01-01
7,46,zoom,3,2020-01-01
7,1,email,5,2020-01-01
7,20,slack,4,2020-01-01
7,97,zoom,1,2020-01-01
7,69,slack,6,2020-01-01
7,20,slack,10,2020-01-01
7,7,zoom,3,2020-01-01
7,69,zoom,3,2020-01-01
7,69,slack,9,2020-01-01
7,6,slack,7,2020-01-01
8,5,slack,7,2020-01-01
8,6,email,5,2020-01-01
8,8,slack,6,2020-01-01
8,15,zoom,1,2020-01-01
8,72,zoom,1,2020-01-01
8,10,zoom,1,2020-01-01
8,60,slack,11,2020-01-01
8,9,zoom,3,2020-01-01
8,49,slack,3,2020-01-01
8,96,email,3,2020-01-01
9,1,zoom,0,2020-01-01
9,79,slack,7,2020-01-01
9,3,slack,12,2020-01-01
9,2,zoom,1,2020-01-01
9,41,slack,9,2020-01-01
9,25,zoom,0,2020-01-01
10,89,slack,8,2020-01-01
10,85,email,5,2020-01-01
10,18,zoom,1,2020-01-01
11,14,zoom,1,2020-01-01
11,14,email,6,2020-01-01
11,17,email,2,2020-01-01
11,16,slack,8,2020-01-01
11,18,email,2,2020-01-01
11,17,email,4,2020-01-01
11,11,zoom,2,2020-01-01
11,19,email,5,2020-01-01
11,13,zoom,3,2020-01-01
