idx,department,remote,fulltime
0,Business,False,True
1,Business,False,False
2,Business,False,True
3,Business,False,False
4,Business,True,False
5,Business,False,True
6,Business,False,False
7,Business,True,True
8,Business,False,True
9,Business,False,True
10,Administration,False,False
11,Administration,False,True
12,Administration,False,False
13,Administration,False,False
14,Administration,False,True
15,Administration,True,False
16,Administration,False,True
17,Administration,False,True
18,Administration,True,True
19,Administration,False,True
20,Sales,False,False
21,Sales,False,True
22,Sales,False,True
23,Sales,False,False
24,Sales,False,True
25,Sales,True,True
26,Sales,False,True
27,Sales,False,False
28,Sales,True,True
29,Sales,False,False
30,Marketing,True,False
31,Marketing,True,True
32,Marketing,True,True
33,Marketing,True,True
34,Marketing,False,True
35,Marketing,False,True
36,Marketing,False,True
37,Marketing,False,True
38,Marketing,False,True
39,Marketing,False,True
40,Research,True,True
41,Research,False,True
42,Research,True,True
43,Research,False,True
44,Research,True,True
45,Research,False,True
46,Research,False,False
47,Research,True,True
48,Research,True,False
49,Research,False,True
50,Research,True,True
51,Research,False,False
52,Research,True,True
53,Research,True,True
54,Research,False,True
55,Research,False,True
56,Research,True,True
57,Research,True,True
58,Research,True,False
59,Research,False,True
60,DevFrontend,False,True
61,DevFrontend,False,True
62,DevFrontend,False,True
63,DevFrontend,True,True
64,DevFrontend,False,True
65,DevFrontend,False,True
66,DevFrontend,True,True
67,DevFrontend,False,True
68,DevFrontend,False,True
69,DevFrontend,False,False
70,DevFrontend,False,True
71,DevFrontend,False,True
72,DevFrontend,False,False
73,DevFrontend,False,True
74,DevFrontend,False,False
75,DevFrontend,False,True
76,DevFrontend,True,False
77,DevFrontend,True,True
78,DevFrontend,True,False
79,DevFrontend,True,True
80,DevBackend,True,True
81,DevBackend,False,True
82,DevBackend,False,True
83,DevBackend,False,False
84,DevBackend,False,False
85,DevBackend,False,True
86,DevBackend,False,False
87,DevBackend,False,True
88,DevBackend,False,True
89,DevBackend,True,True
90,DevBackend,True,False
91,DevBackend,True,True
92,DevBackend,True,True
93,DevBackend,True,False
94,DevBackend,False,True
95,DevBackend,False,True
96,DevBackend,True,True
97,DevBackend,True,True
98,DevBackend,True,True
99,DevBackend,False,True
